Name,English Translation,Category,Sub-category,Official Kodokan,Video URL
Ippon-seoi-nage,One-arm shoulder throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=OmKfUXAAdZ0
Morote-seoi-nage,Two-arm shoulder throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=UjtL1h9htb8
Tai-otoshi,Body drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=DUiZ8JZkGx8
Kata-guruma,Shoulder wheel,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=cnHRhSy8yi4
Seoi-otoshi,Shoulder drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=vu1TMVNnq34
Sumi-otoshi,Corner drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=lLU9wv52ni0
Uki-otoshi,Floating drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=6H5tmncOY4Q
Yama-arashi,Mountain storm,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=MGlyKmSuzdc
Kibisu-gaeshi,Heel trip,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=tJylJYfBliA
Kuchiki-taoshi,Single leg takedown,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=ZNL47q1aJNY
Morote-gari,Two-leg reap,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=BHLQS4K85bs
Sukui-nage,Scooping throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=vU6aJ2kFxoI
Obi-otoshi,Belt drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=ff8U2TVZIYI
Tsubame-gaeshi,Swallow counter,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=GwweWqqFB5g
Uchi-makikomi,Inner wraparound,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5BowcjduxVc
Daki-age,High lift,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5lFXv3crN30
,,,Koshi-waza,No,
O-goshi,Major hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=yhu1mfy2vJ4
Koshi-guruma,Hip wheel,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=SU7Id6uVJ44
Tsurikomi-goshi,Lifting pulling hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=McfzA0yRVt4
Harai-goshi,Sweeping hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=qTo8HlAAkOo
Hane-goshi,Spring hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=M9_7De6A1kk
Ushiro-goshi,Rear hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=ORIYstuxYT8
Utsuri-goshi,Hip shift,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=4pQd_bEnlf0
O-tsuri-goshi,Major lifting hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=oB3hwIbdzqM
O-guruma,Large wheel,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=SnZciTAY9vc
Sode-tsurikomi-goshi,Sleeve lifting pulling hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=QsmAxpmYLOI
Deashi-harai,Advanced foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=4BUUvqxi_Kk
Okuri-ashi-harai,Sliding foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=nw1ZdRjrdRI
Harai-tsurikomi-ashi,Lifting pulling foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=gGPXvWL8VbE
Sasae-tsurikomi-ashi,Lifting pulling ankle block,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=699i--pvYmE
Hiza-guruma,Knee wheel,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=JPJx9-oAVns
Ouchi-gari,Major inner reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=0itJFhV9pDQ
Ko-uchi-gari,Minor inner reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=3Jb3tZvr9Ng
O-soto-gari,Major outer reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=c-A_nP7mKAc
Ko-soto-gari,Minor outer reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=jeQ541ScLB4
O-soto-otoshi,Major outer drop,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=2DsVvDw7b8g
Ko-soto-otoshi,Minor outer drop,Nage-waza,Ashi-waza,Yes,
Ko-soto-gake,Minor outer hook,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=8b6kY4s4zH4
O-soto-guruma,Major outer wheel,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=92KbCm6pQeI
O-uchi-gaeshi,Inner reap counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=dCyZTXyjIXE
Ko-uchi-gaeshi,Inner minor reap counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=_MWAdYi_LC4
Ashi-guruma,Leg wheel,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=ROeayhvom9U
Tsubame-gaeshi,Swallow counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=GwweWqqFB5g
Hane-goshi-gaeshi,Hip spring counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=9bZAZSBtnGs
Ushiro-goshi,Rear throw,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=ORIYstuxYT8
Tai-otoshi-gaeshi,Body drop counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=imECTzUV-vY
Daki-wakare,Hug split,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=Hr0cOMGBDYo
Tomoe-nage,Circle throw,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=TON-fQk3aTc
Hikikomi-gaeshi,Pulling sacrifice throw,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=92zUYWBp5N8
Sumi-gaeshi,Corner reversal,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=5VhduA5xkbA
Tawara-gaeshi,Rice bag reversal,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=TmTWgrmViZc
Ura-nage,Rear throw,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=Fgi9b8DJ5sQ
Yoko-otoshi,Side drop,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=MnNG67pF_a0
Tani-otoshi,Valley drop,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=3b9Me3Fohpk
Yoko-gake,Side hook,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=tP1Sj1uDfSo
Yoko-guruma,Side wheel,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=MehP6I5cY2c
Yoko-wakare,Side separation,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=bp1tscHlePI
Uchi-makikomi,Inner wraparound,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=5BowcjduxVc
Soto-makikomi,Outer wraparound,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=bWG9O1BVKtQ
Kawazu-gake,One-leg entanglement,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=-SQCIZFscNs
Kani-basami,Crab scissors,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=OR-HGHnarYc
Daki-wakare,Hug split,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=Hr0cOMGBDYo
Obi-tori-gaeshi,Belt grab reversal,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=bpc82SrunUU
Ko-uchi-makikomi,small inner wrap-around throw,Nage-waza,Ma-sutemi-waza,No,https://www.youtube.com/watch?v=_1eygIXLD_w
Yoko-sumi-gaeshi,,Nage-waza,Yoko-sutemi-waza,No,https://www.youtube.com/watch?v=TnvdcBbB0sA
Yoko-shio-gatame,side four quarter hold,Nage-waza,Yoko-sutemi-waza,,https://www.youtube.com/watch?v=1GJn6OEyuO4
Tate-shiho-gatame,Vertical four quaters hold,Nage-waza,Ne-waza,,https://www.youtube.com/watch?v=XjWzNxlKH1M
kami-shiho-gatame,Upper four Quarter hold,Nage-waza,Ne-waza,,https://www.youtube.com/watch?v=2evEh7OBnBg
Tai-otoshi into Yoko-shiho-gatame,Nage-waza,Ne-waza,,https://www.youtube.com/watch?v=caXBWqLeW6I
Ippon-seoi-nage into Kami-shiho-gatame,Nage-waza,Ne-waza,,https://www.youtube.com/watch?v=jBl0Q-Egbdg
Ouchi-gari into Tate-shiho-gatame,Nage-waza,Ne-waza,,https://www.youtube.com/watch?v=OH8PgkWGxQU
Escape from Kami-shiho-gatame using 'action and re-action,Ne-waza,Escape techniques,,https://www.youtube.com/watch?v=Hl0C4RRavHo
Escape from Tate-shiho-gatame using a 'clamp and roll' action.,Ne-waza,Escape techniques,,https://www.youtube.com/watch?v=PV_anL347rw
Escape from Yoko-shiho-gatame using 'trap, bridge and roll' action,Ne-waza,Escape techniques,,https://www.youtube.com/watch?v=yK_GSamSPko
Turnover into Kesa-gatame (Uke in "all fours" position),Ne-waza,Transitions,,https://www.youtube.com/watch?v=r-ODhj19vL0
Turnover into Yoko-shiho-gatame (Uke in face-down prone position),Ne-waza,Transitions,,https://www.youtube.com/watch?v=19TTB0bdL7w
Demonstrate the right and left standard grips,Judo fundamentals,Grips,,https://www.youtube.com/watch?v=T6c_FpfVZy4
Demonstrate right against left grips, double lapel, and high collar grips.,Judo fundamentals,Grips,,https://www.youtube.com/watch?v=97djf2GY6I0
Demonstration of Nage-komi in light randori with a cooperative partner.,Judo fundamentals,Randori practice,,https://www.youtube.com/watch?v=QUKkd08DT9M
Alternating throws with partner, demonstrating proficiency on both right and left sides,Judo fundamentals,Randori practice,,https://www.youtube.com/watch?v=KFhiz7dcEkM&t=22s
